year,month,first_field_NDVI,second_field_NDVI,first_field_scenes,second_field_scenes
2017,1,0.887,0.888,2,2
2017,2,0.862,0.868,2,2
2017,3,0.839,0.816,1,1
2017,4,0.826,0.796,1,1
2017,6,0.854,0.834,1,1
2017,8,0.897,0.887,1,1
2017,10,0.902,0.9,2,2
2017,11,0.9,0.906,2,2
2017,12,0.86,0.895,4,4
2018,1,0.881,0.88,5,5
2018,2,0.869,0.875,4,4
2018,3,0.859,0.863,5,5
2018,4,0.824,0.807,6,6
2018,5,0.73,0.739,5,5
2018,6,,,1,1
2018,7,0.875,0.863,5,5
2018,8,0.887,0.883,3,3
2018,9,0.909,0.9,3,3
2018,10,0.879,0.853,3,3
2018,11,0.885,0.885,5,5
2018,12,0.855,0.876,6,6
2019,1,0.882,0.886,6,6
2019,2,0.847,0.858,5,5
2019,3,0.828,0.833,6,6
2019,4,0.803,0.804,6,6
2019,5,0.789,0.772,3,3
2019,6,0.867,0.805,4,4
2019,7,0.889,0.887,3,3
2019,8,0.821,0.836,3,3
2019,9,0.878,0.875,5,5
2019,10,0.852,0.831,2,2
2019,11,0.888,0.892,5,5
2019,12,0.847,0.862,6,6
2020,1,0.895,0.892,6,6
2020,2,0.881,0.877,5,5
2020,3,0.885,0.871,6,6
2020,4,0.84,0.816,6,6
2020,5,0.788,0.762,5,5
2020,6,0.805,0.791,2,2
2020,7,0.702,0.676,3,3
2020,8,0.889,0.879,2,2
2020,9,0.732,0.78,2,2
2020,10,0.878,0.872,3,3
2020,11,0.848,0.794,6,6
2020,12,0.872,0.892,4,4
2021,1,0.88,0.88,4,4
2021,2,0.878,0.875,5,5
2021,3,0.86,0.859,6,6
2021,4,0.852,0.829,6,6
2021,5,0.838,0.822,5,5
2021,6,,,1,1
2021,7,0.578,0.813,4,4
2021,8,0.769,0.839,2,2
2021,9,,,1,1
2021,10,0.719,0.798,2,2
2021,11,0.844,0.873,5,5
2021,12,0.801,0.86,7,7
2022,1,0.877,0.877,6,6
2022,2,0.509,0.543,9,9
2022,3,0.471,0.543,8,8
2022,4,0.482,0.543,7,7
2022,5,0.487,0.533,6,6
2022,6,0.389,0.387,3,3
2022,8,0.48,0.486,7,7
2022,9,0.524,0.517,4,4
2022,10,0.532,0.517,7,7
2022,11,0.535,0.516,6,6
2022,12,0.524,0.523,6,6
2023,1,0.477,0.517,8,8
2023,2,0.433,0.473,8,8
2023,3,0.452,0.463,9,9
2023,4,0.473,0.459,11,11
2023,5,0.48,0.476,6,6
2023,6,0.538,0.511,12,12
2023,7,0.561,0.524,6,6
2023,8,0.555,0.532,12,12
2023,9,0.464,0.44,7,7
2023,10,0.518,0.511,6,6
2023,11,0.543,0.544,8,8
2023,12,0.536,0.548,5,5
2024,1,0.504,0.529,5,5
2024,2,0.501,0.505,7,7
2024,3,0.49,0.492,6,6
2024,4,0.479,0.454,6,6
2024,5,0.494,0.455,6,6
2024,6,,0.487,3,3
2024,7,0.47,0.515,4,4
2024,8,0.573,0.544,4,4
2024,9,,,1,1
2024,10,0.535,0.536,3,3
2024,11,0.549,0.537,6,6
2024,12,0.536,0.541,6,6
2025,1,0.562,0.546,4,4
2025,2,0.532,0.531,5,5
2025,3,0.519,0.521,8,8
2025,4,0.518,0.514,7,7
2025,5,0.518,0.502,4,4
2025,7,0.562,0.547,7,7
2025,8,0.559,0.557,3,3
2025,9,0.551,0.515,3,3
2025,10,0.561,0.55,6,6
2025,11,0.549,0.543,7,7
2025,12,0.54,0.545,8,8
2026,1,0.57,0.556,7,7
2026,2,0.558,0.547,6,6
2026,3,0.532,0.533,7,7
2026,4,0.532,0.537,7,7
